xmltv_id,name,status,programme_count,selected_site,candidate_count,attempt_count,attempts,reasons
123tv.de@SD,1-2-3.tv,OK,168,web.magentatv.de,4,1,web.magentatv.de:OK:168,broadcast_area=DE;iptv-country=DE;lang=de
13thStreetUniversal.de@HD,13th Street HD,OK,226,sky.com,2,1,sky.com:OK:226,broadcast_area=DE;lang=de
13thStreetUniversal.de@SD,13TH STREET,OK,232,web.magentatv.de,4,1,web.magentatv.de:OK:232,broadcast_area=DE;lang=de
1730SAT1Bayern.de@SD,SAT.1 Bayern,OK,157,web.magentatv.de,2,1,web.magentatv.de:OK:157,broadcast_area=DE;lang=de
1730SAT1LIVE.de@SD,SAT.1 Rheinland-Pfalz und Hessen,OK,157,web.magentatv.de,2,1,web.magentatv.de:OK:157,broadcast_area=DE;lang=de
1730SAT1REGIONALHamburgSchleswigHolstein.de@SD,SAT.1 Hamburg und Schleswig-Holstein,OK,157,web.magentatv.de,2,1,web.magentatv.de:OK:157,broadcast_area=DE;lang=de
1730SAT1REGIONALLowerSaxonyBremen.de@SD,SAT.1 Niedersachsen und Bremen,OK,157,web.magentatv.de,2,1,web.magentatv.de:OK:157,broadcast_area=DE;lang=de
1FLTV.li@SD,1 FL TV,NO_EPG,0,,1,1,teleboy.ch:OK:0,lang=de
3Plus.ch@SD,3+,OK,114,tv.blue.ch,3,2,teleboy.ch:OK:0;tv.blue.ch:OK:114,lang=de
3sat.de@HD,3sat HD,OK,261,sky.com,2,1,sky.com:OK:261,broadcast_area=DE;lang=de
3sat.de@SD,3sat,OK,263,web.magentatv.de,19,1,web.magentatv.de:OK:263,broadcast_area=DE;iptv-country=DE;lang=de
4Plus.ch@SD,4+,OK,79,tv.blue.ch,3,2,teleboy.ch:OK:0;tv.blue.ch:OK:79,lang=de
5Plus.ch@SD,5+,OK,107,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:107,lang=de
6Plus.ch@SD,6+,OK,93,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:93,lang=de
7PlusNickSchweiz.ch@SD,7+ / Nick CH,OK,374,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:374,lang=de
ALFTV.ch@SD,ALF-TV,OK,169,tv.blue.ch,1,1,tv.blue.ch:OK:169,lang=de
ARDalpha.de@HD,ARD alpha HD,OK,313,sky.com,3,1,sky.com:OK:313,broadcast_area=DE;lang=de
ARDalpha.de@SD,ARD-alpha,OK,318,web.magentatv.de,7,1,web.magentatv.de:OK:318,broadcast_area=DE;iptv-country=DE;lang=de
ASpor.ch,A Spor,NO_EPG,0,,1,1,tvprofil.com:OK:0,lang=de
ASpor.de,A Spor,NO_EPG,0,,1,1,tvprofil.com:OK:0,lang=de
ATV.at@HD,ATV HD AT,OK,192,sky.com,2,1,sky.com:OK:192,lang=de
ATV.at@SD,ATV,NO_EPG,0,,3,2,programtv.onet.pl:TIMEOUT:0;tv.blue.ch:OK:0,lang=de
ATV2.at@HD,ATV2 HD AT,OK,175,sky.com,2,1,sky.com:OK:175,lang=de
ATV2.at@SD,ATV2,OK,207,tvheute.at,1,1,tvheute.at:OK:207,lang=de
AXNBlack.de@HD,AXN Black HD,OK,185,sky.com,1,1,sky.com:OK:185,broadcast_area=DE;lang=de
AXNBlack.de@SD,AXN Black,OK,190,web.magentatv.de,3,1,web.magentatv.de:OK:190,broadcast_area=DE;lang=de
AdriaMusicTelevision.de@SD,Adria,OK,70,neo.io,2,1,neo.io:OK:70,broadcast_area=DE;iptv-country=DE
AdventureEarth.de@SD,Adventure Earth,OK,171,plex.tv,8,1,plex.tv:OK:171,broadcast_area=DE;iptv-country=DE
AlJazeera.qa@English,Al Jazeera English,OK,266,sky.com,2,1,sky.com:OK:266,lang=de
AlJazeera.qa@EnglishHD,Al Jazeera English HD,OK,266,sky.com,1,1,sky.com:OK:266,lang=de
AlexBerlin.de@SD,ALEX Berlin,OK,98,web.magentatv.de,1,1,web.magentatv.de:OK:98,broadcast_area=DE;iptv-country=DE;lang=de
AllgauTV.de@SD,allgäu.tv,OK,426,web.magentatv.de,1,1,web.magentatv.de:OK:426,broadcast_area=DE;iptv-country=DE;lang=de
AlpenlandTV.ch@SD,AW1 TV,OK,172,tv.blue.ch,1,1,tv.blue.ch:OK:172,lang=de
AltenburgTV.de@SD,altenburg.tv,OK,340,web.magentatv.de,1,1,web.magentatv.de:OK:340,broadcast_area=DE;iptv-country=DE;lang=de
Andromeda.us,Andromeda,OK,179,plex.tv,1,1,plex.tv:OK:179,lang=de
AnimalPlanet.de@SD,Animal Planet,OK,235,web.magentatv.de,3,1,web.magentatv.de:OK:235,broadcast_area=DE;lang=de
Animax.de@SD,Animax,NO_EPG,0,,1,1,tv.blue.ch:OK:0,broadcast_area=DE;lang=de
AnixeHDSerie.de@SD,ANIXE HD Serie,OK,298,web.magentatv.de,6,1,web.magentatv.de:OK:298,broadcast_area=DE;iptv-country=DE;lang=de
AnixePlus.de@SD,ANIXE+,OK,375,web.magentatv.de,3,1,web.magentatv.de:OK:375,broadcast_area=DE;iptv-country=DE;lang=de
Antena3.ch,Antena 3,NO_EPG,0,,1,1,tvprofil.com:OK:0,lang=de
AragonTVInternacional.es@SD,ARAGON TV INT,OK,150,sky.com,1,1,sky.com:OK:150,lang=de
ArcadiaTV.li@SD,ARCADIA world TV,OK,576,tv.blue.ch,1,1,tv.blue.ch:OK:576,lang=de
ArcadiaWorldHD.at@SD,ARCADIA World HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
ArirangWorld.kr@SD,Arirang HD,OK,299,sky.com,1,1,sky.com:OK:299,lang=de
AuftankenTV.ch@SD,auftanken.tv,OK,87,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:87,lang=de
