action,xmltv_id,kept_xmltv_id,name,programme_count,details
ICON_OVERRIDE,CrimeTime.de@SD,CrimeTime.de@SD,Crime Time,202,https://astra.de/sites/default/files/2023-07/astra_23_website_channel-factory_logo_crime-time_color_800x640px.png
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5ad9b7aae738977e2c312132,,World Poker Tour,33,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5ad9b8551b95267e225e59c1,,Pluto TV Explore,35,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5be1c3f9851dd5632e2c91b2,,Pluto TV Nature,39,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5c5c3b948002db3c3e0b262e,,Pluto TV Movies,22,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5caf325764025859afdd6c4d,,MTV Pluto TV,50,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5caf330ea5068259a32320fd,,MTV Dating,60,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5cb5cfe5caf83414128f209e,,KultKrimi,29,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5cb5d043a461406ffe3fb2de,,Telenovela ZDF,40,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5cd149f021cb6c55e258bbe8,,Pluto TV Sitcoms Plus [Pluto TV],63,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5ce40f42ba7f7f5ea9518fe1,,Ice Pilots,38,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5cffcf5686dfe15595fb3f56,,MTV Teen Mom,59,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d00e8adaab96b5635b2a005,,SpongeBob Schwammkopf,59,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d4947590ba40f75dc29c26b,,CC Pluto TV,70,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d6792bd6be2998ad0ccce30,,Totally Turtles,65,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d767ab2b456c8cf265ce921,,Pluto TV Sitcoms,72,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d767ae7b456c8cf265ce922,,Pluto TV Animals,34,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d767b1c126c65d0a307355f,,Pluto TV History,39,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5d767b4889bca2ce7b73ef2e,,Pluto TV Science,39,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5db6a697d5f34a000934cd13,,MTV Catfish TV Show,59,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5dc190f7bfed110009d934c3,,Pluto TV Serie,43,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5dc280c9aa218c0009724b4b,,Pluto TV Food,50,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5dc287ce3086a20009f5024c,,Pluto TV Romance,22,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5ddbf866b1862a0009a0648e,,Pluto TV Serie Plus [Pluto TV],36,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5dde47b63585b500099f74ec,,Pluto TV Kultfilme,21,dedicated platform EPG retained
DROP_PLATFORM_DUPLICATE_FROM_MASTER,PlutoTV.de.5e7b6c60fd20c50007910bf5,,Pluto TV Crime,35,dedicated platform EPG retained
