name,site,site_id,lang,status,possible_xmltv_ids,source_file
DAZN 1,dazn.com,bj5o60qt6uoe1clfdsev239pr,de,AMBIGUOUS,DAZN1.pt@HD;DAZN1.uk@Portugal;DAZN1.uk@UKHD;ZonaDAZN.it@SD,sites/dazn.com/dazn.com.channels.xml
DAZN 2,dazn.com,1v9s3d9dmt4ph1q4simfgo7ih4,de,AMBIGUOUS,DAZN2.pt@HD;DAZN2.uk@Portugal;ZonaDAZN2.it@SD,sites/dazn.com/dazn.com.channels.xml
DAZN FAST+,dazn.com,1vi4p39obt24i1dtsmthi921tl,de,UNMATCHED,,sites/dazn.com/dazn.com.channels.xml
DAZN RISE,dazn.com,1xx7lone8fvv21a2rpc5cji3jx,de,UNMATCHED,,sites/dazn.com/dazn.com.channels.xml
DFB.TV,dazn.com,mai2qbz2nmw21xjmvjj0rj6ez,de,UNMATCHED,,sites/dazn.com/dazn.com.channels.xml
Eurosport 1,dazn.com,1l82wc10vjal91887wfmdhvcsp,de,AMBIGUOUS,Eurosport1.fr@France;Eurosport1.fr@Germany;Eurosport1.fr@Italy;Eurosport1.fr@Netherlands;Eurosport1.fr@Poland;Eurosport1.fr@Romania;Eurosport1.fr@UK;Eurosport1.pt@HD,sites/dazn.com/dazn.com.channels.xml
Eurosport 2,dazn.com,893cxtl671ey1jf0o6na51es0,de,AMBIGUOUS,Eurosport2.fr@France;Eurosport2.fr@Italy;Eurosport2.fr@Netherlands;Eurosport2.fr@Poland;Eurosport2.fr@Romania;Eurosport2.fr@Russia;Eurosport2.fr@UK;Eurosport2.pt@HD,sites/dazn.com/dazn.com.channels.xml
NHL FAST Channel,dazn.com,8c9m11qfurai1ffixac9ytscp,de,UNMATCHED,,sites/dazn.com/dazn.com.channels.xml
Rally TV,dazn.com,9dmerrb96eue11mjxhgbnyjho,de,UNMATCHED,,sites/dazn.com/dazn.com.channels.xml
Red Bull TV,dazn.com,jr0lzor3xjhq1e2rotqdu3zhh,de,AMBIGUOUS,RedBullTV.at@SD;RedBullTV.at@US,sites/dazn.com/dazn.com.channels.xml
13th Street Universal,epgshare01.online,DE1#13th.Street.Universal.de,de,UNMATCHED,,sites/epgshare01.online/epgshare01.online_DE1.channels.xml
