xmltv_id,display_name,category,source_id,source_display_name,match_method,programme_count
00sReplay.us@SD,00s Replay,fast,00sReplay.pluto,PLUTO - 00s Replay,normalized-base-id,12
48Hours.us@US,48 Hours,fast,48Hours.pluto,PLUTO - 48 Hours,normalized-base-id,20
50CentAction.us@SD,50 Cent Action,fast,50CentAction.us,50 Cent Action,base-id,46
70sCinema.us@SD,70s Cinema,fast,70sCinema.pluto,PLUTO - 70s Cinema,normalized-base-id,13
80sRewind.us@SD,80s Rewind,fast,80sRewind.pluto,PLUTO - 80s Rewind,normalized-base-id,14
90sKidsTV2.us@SD,90s Kids TV 2,fast,90sKidsTV2.pluto,PLUTO - 90s Kids TV 2,normalized-base-id,38
90sThrowback.us@SD,90s Throwback,fast,90sThrowback.pluto,PLUTO - 90s Throwback,normalized-base-id,13
ABC.us@East,ABC,local,ABCEast_WABC.us,ABC East WABC,regional-feed-id,93
ABC.us@KAAL,ABC 6 Austin TX (KAAL),local,ABCKAAL.us,ABC KAAL Rochester MN,base-feed-id,97
ABC.us@KATC,KATC 3.1,local,ABCKATC.us,ABC KATC Lafayette LA,base-feed-id,104
ABC.us@KEROTV,ABC 23 Bakersfield CA (KERO),local,ABCKERO.us,ABC KERO Bakersfield CA,base-feed-id,103
ABC.us@KGTV,ABC 10 San Diego CA (KGTV),local,ABCKGTV.us,ABC KGTV San Diego CA,base-feed-id,104
ABC.us@KGUNTV,ABC 9 Tucson AZ (KGUN),local,ABCKGUN.us,ABC KGUN Tucson AZ,base-feed-id,115
ABC.us@KITV,KITV 4 Island News,local,ABCKITV.us,ABC KITV Honolulu HI,base-feed-id,107
ABC.us@KMGHTV,ABC 7 Denver CO (KMGH),local,ABCKMGH.us,ABC KMGH Denver CO,base-feed-id,119
ABC.us@KOATTV,ABC 7 Albuquerque NM (KOAT),local,ABCKOAT.us,ABC KOAT Albuquerque NM,base-feed-id,96
ABC.us@KRGVTV,ABC 5,local,ABCKRGV.us,ABC KRGV McAllen Harlingen Brownsville Weslaco TX,base-feed-id,106
ABC.us@KSTPTV,ABC 5 St. Paul MN (KSTP),local,ABCKSTP.us,ABC KSTP Minneapolis Saint Paul MN,base-feed-id,102
ABC.us@KXXV,ABC 25 News Central Texas,local,ABCKXXV.us,ABC KXXV Waco Bryan TX,base-feed-id,105
ABC.us@WBBJTV,WBBJ (Jackson TN),local,ABCWBBJ.us,ABC WBBJ Memphis Jackson TN,base-feed-id,104
ABC.us@WBRZTV,WBRZ Weather Channel Baton Rouge LA,local,ABCWBRZ.us,ABC WBRZ Baton Rouge LA,base-feed-id,93
ABC.us@WDIODT,ABC 10 Duluth MN (WDIO),local,ABCWDIO.us,ABC WDIO Duluth MN,base-feed-id,82
ABC.us@West,ABC West,local,ABCWest_KABC.us,ABC West KABC,regional-feed-id,103
ABC.us@WFTV,ABC 9 Orlando FL (WFTV),local,ABCWFTV.us,ABC WFTV Orlando FL,base-feed-id,115
ABC.us@WISNTV,ABC 12 Milwaukee WI (WISN),local,ABCWISN.us,ABC WISN Milwaukee WI,base-feed-id,100
ABC.us@WJLATV,ABC 7 Washington DC (WJLA),local,ABCWJLA.us,ABC WJLA Washington DC,base-feed-id,106
ABC.us@WLOS,ABC 13 Asheville NC (WLOS),local,ABCWLOS.us,ABC WLOS Asheville NC,base-feed-id,117
ABC.us@WMARTV,ABC 2 Baltimore MD (WMAR),local,ABCWMAR.us,ABC WMAR Baltimore MD,base-feed-id,123
