xmltv_id,display_name,groups
24HourFreeMovies.us@SD,24 Hour Free Movies,Movies
30ADarcizzleOffshore.us@SD,30A Darcizzle Offshore,Outdoor
30AGeorgiaHollywoodReview.us@SD,30A Georgia Hollywood Review,Entertainment;News
30AGolfKingdom.us@SD,30A Golf Kingdom,Sports
30AInvestmentPitch.us@SD,30A Investment Pitch,Business
30ALionelNation.us@SD,30A Lionel Nation,News
30ALoomeredTV.us@SD,30A Loomered TV,Documentary;News
30ALuxeLifeDiscovered.us@SD,30A Luxe Life Discovered,Lifestyle
30AMusic.us@SD,30A Music,Music
30ARidiculousTV.us@SD,30A Ridiculous TV,Comedy
30ASidewalks.us@SD,30A Sidewalks,Entertainment
30ATelevisionChannel.us@SD,30A Television Channel,Entertainment
30ATheBeachShow.us@SD,30A The Beach Show,Shop
30ATVClassicMovies.us@SD,30A TV Classic Movies,Movies
30AWeLoveCars.us@SD,30A We Love Cars,Auto
3ABNEnglish.us@SD,3ABN English,Religious
3ABNFrench.us@SD,3ABN French,Religious
3ABNKids.us@SD,3ABN Kids,Animation;Kids;Religious
3ABNLatino.us@SD,3ABN Latino,Religious
3ABNPraiseHimMusicNetwork.us@SD,3ABN Praise Him Music Network,Music;Religious
3ABNProclaimNetwork.us@SD,3ABN Proclaim! Network,Religious
90sKids.us@SD,90's Kids,Kids
ABC.us@KRCA,ABC KRCA,General
ABCNewsLive1.us@SD,ABC News Live 1,News
ABCNewsLive10.us@SD,ABC News Live 10,News
ABCNewsLive2.us@SD,ABC News Live 2,News
ABCNewsLive3.us@SD,ABC News Live 3,News
ABCNewsLive4.us@SD,ABC News Live 4,News
ABCNewsLive5.us@SD,ABC News Live 5,News
ABCNewsLive6.us@SD,ABC News Live 6,News
ABCNewsLive7.us@SD,ABC News Live 7,News
ABCNewsLive8.us@SD,ABC News Live 8,News
ABCNewsLive9.us@SD,ABC News Live 9,News
ABHPTV.us@HD,ABHP TV,Religious
ABNAfghanistan.us@SD,ABN Afghanistan,Religious
ABNAfrica.us@SD,ABN Africa,Religious
ABNBibleMoviesChannel.us@SD,ABN Bible Movies Channel,Movies;Religious
ABNChina.us@SD,ABN China,Religious
ABNTVIndia.us@SD,ABN TV India,Religious
ABNUrdu.us@SD,ABN Urdu,Religious
AbsoluteRealitybyWETV.us@SD,Absolute Reality by WE TV,Entertainment
Access19.us@SD,Access 19,General
Access4PAC.us@SD,Access 4 PAC,General
AccessHumboldt.us@SD,Access Humboldt,General
AccessNashua.us@SD,Access Nashua,General
AccessSacramentoChannel17.us@SD,Access Sacramento Channel 17,General
AccessTuolumne.us@SD,Access Tuolumne,General
AccessVisionChannel16.us@SD,AccessVision Channel 16,General
AccessVisionChannel17.us@SD,AccessVision Channel 17,Legislative
AccuWeatherNOW.us@SD,AccuWeather NOW,Weather
ACECountryRadio.us@KPVMLD,ACE Country Radio KPVM-LD,Music
AceTV.us@KCKSLD,Ace TV KCKS-LD,Entertainment
ACTV.us@SD,ACTV (United States),Legislative
AdrenalinaPuraTV.us@SD,Adrenalina Pura TV,Movies
AE.us@East,A&E,Entertainment
AfroLandTV.us@SD,AfroLandTV,Entertainment
AFTV.us@SD,AFTV,General
AFV.us@SD,AFV,Comedy
AFVEspanol.us@SD,AFV Espanol,Comedy
Akaku53.us@SD,Akaku 53,General
Akaku54.us@SD,Akaku 54,General
Akaku55.us@SD,Akaku 55,General
AKCTVMeettheBreeds.us@SD,AKC TV Meet the Breeds,Outdoor
AKCTVPuppies.us@SD,AKC TV Puppies,Outdoor
AlabamaWeatherNetwork.us@SD,Alabama Weather Network,Weather
AlbanianTVAmerica.us@SD,Albanian TV America,General
AlFadyTV.us@SD,Al-Fady TV,Religious
AlHorreyaTV.us@SD,Al Horreya TV,Religious
AlhurraIraq.us@SD,Alhurra Iraq,News
AlientoVision.us@SD,Aliento Vision,Religious
AlkarmaTVAustralia.us@SD,Alkarma TV Australia,Religious
AlkarmaTVFamily.us@SD,Alkarma TV Family,Religious
AlkarmaTVMiddleEast.us@SD,Alkarma TV Middle East,Religious
AlkarmaTVNorthAmericaCanada.us@SD,Alkarma TV North America & Canada,Religious
AlkarmaTVPraise.us@SD,Alkarma TV Praise,Religious
AlkarmaTVTalmazaDiscipleship.us@SD,Alkarma TV Talmaza Discipleship,Religious
AlkarmaTVYouthEnglish.us@SD,Alkarma TV Youth & English,Religious
AllRealitybyWEtv.us@SD,All Reality by WE tv,Series
AllWeddingsWEtv.us@SD,All Weddings WE tv,Series
AlmagdTVMiddleEast.us@SD,Almagd TV Middle East,Religious
AlmagdTVNorthAmerica.us@SD,Almagd TV North America,Religious
AlMahdiTV.us@SD,Al-Mahdi TV,Religious
AlwaysFunnyVideos.us@SD,Always Funny Videos,Series
AmazingFactsTV.us@SD,Amazing Facts TV,Religious
AMCenEspanol.us@SD,AMC en Espanol,Entertainment
AmericanHorrors.us@SD,American Horrors,Movies
AmericasNextTopModel.us@SD,America's Next Top Model,Entertainment
AmericasTestKitchen.us@SD,America's Test Kitchen,Cooking
AmericasVoice.us@SD,America's Voice,News
AmericasVoiceNews.us@SD,America's Voice News,News
Ameritrade.us@SD,Ameritrade,Business
AMGATV.us@SD,AMGA TV,General
AMP1.us@SD,AMP 1,General
AMP2.us@SD,AMP 2,Culture
AmuTV.us@SD,Amu TV,News
Armenia1.am@America,Armenia 1 America,General
ARTFLIXMovieClassics.us@SD,ARTFLIX Movie Classics,Classic;Movies
ARTNTV.us@SD,ARTN TV,General
AsianCultureTV.us@HD,Asian Culture TV,General
AspireTVLife.us@SD,Aspire TV Life,Lifestyle
ATL26.us@SD,ATL 26,Legislative
AtlantaChannel.us@SD,Atlanta Channel,General
Atlas.us@SD,Atlas,Documentary
